loading convaiinnovations/laya-multilingual ...
Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 1261.37it/s]
device=mps  encoding=numeric
train obstacle mix: cactus_small=22.9%  cactus_large=22.8%  pterodactyl@0=19.1%  pterodactyl@25=18.3%  pterodactyl@50=15.1%  none=1.9%
train=100000  calib=4000  test=4000
tokens/row: 72 avg, 74 max
trainable: 15.0M / 321.9M params (4.7%)
positives=51004/100000 (51.0%)  class_weight=[1.0, 1.0]

baseline (before training):
  acc=0.468  recall=0.463  ece=0.191
  ep0 step100/18750 loss=0.8121 (78 rows/s)
  ep0 step200/18750 loss=0.6916 (78 rows/s)
  ep0 step300/18750 loss=0.6614 (78 rows/s)
  ep0 step400/18750 loss=0.6159 (78 rows/s)
  ep0 step500/18750 loss=0.5661 (78 rows/s)
  ep0 step600/18750 loss=0.5286 (78 rows/s)
  ep0 step700/18750 loss=0.5380 (78 rows/s)
  ep0 step800/18750 loss=0.4839 (78 rows/s)
  ep0 step900/18750 loss=0.4744 (78 rows/s)
  ep0 step1000/18750 loss=0.4121 (78 rows/s)
  ep0 step1100/18750 loss=0.4176 (78 rows/s)
  ep0 step1200/18750 loss=0.4187 (78 rows/s)
  ep0 step1300/18750 loss=0.4144 (78 rows/s)
  ep0 step1400/18750 loss=0.4014 (78 rows/s)
  ep0 step1500/18750 loss=0.3555 (78 rows/s)
  ep0 step1600/18750 loss=0.3808 (78 rows/s)
  ep0 step1700/18750 loss=0.3363 (78 rows/s)
  ep0 step1800/18750 loss=0.3578 (78 rows/s)
  ep0 step1900/18750 loss=0.3131 (78 rows/s)
  ep0 step2000/18750 loss=0.3133 (78 rows/s)
  ep0 step2100/18750 loss=0.3076 (78 rows/s)
  ep0 step2200/18750 loss=0.3138 (78 rows/s)
  ep0 step2300/18750 loss=0.3303 (78 rows/s)
  ep0 step2400/18750 loss=0.3045 (78 rows/s)
  ep0 step2500/18750 loss=0.3016 (78 rows/s)
  ep0 step2600/18750 loss=0.2566 (78 rows/s)
  ep0 step2700/18750 loss=0.2464 (78 rows/s)
  ep0 step2800/18750 loss=0.2720 (78 rows/s)
  ep0 step2900/18750 loss=0.2776 (78 rows/s)
  ep0 step3000/18750 loss=0.2643 (78 rows/s)
  ep0 step3100/18750 loss=0.2343 (78 rows/s)
  ep0 step3200/18750 loss=0.2445 (78 rows/s)
  ep0 step3300/18750 loss=0.2408 (78 rows/s)
  ep0 step3400/18750 loss=0.2473 (78 rows/s)
  ep0 step3500/18750 loss=0.2413 (78 rows/s)
  ep0 step3600/18750 loss=0.2445 (78 rows/s)
